SERAT,b3607,cysE,29315.499999999953
QULNS,b0750,nadA,38239.280000000006
G3PD2_reverse,b3608,gpsA,36360.14999999996
UPP3S,b3804,hemD,27796.979999999985
DBTS,b0778,bioD1,24138.61999999996
TMDS,b2827,thyA,30478.649999999965
RBFSb,b1662,ribC,23444.079999999984
U23GAAT,b0179,lpxD,36037.17999999995
AIRC3_reverse,b0523,purE,17779.559999999987
PGCD,b2913,serA,44174.109999999986
PPBNGS,b0369,hemB,35623.28999999997
PSCVT,b0908,aroA,46093.95999999997
BTS5,b0775,bioB,38646.62999999996
KDOCT2,b0918,kdsB,27613.32999999998
NADK,b2615,ppnK,32565.259999999947
MEPCT,b2747,ispD,25736.239999999965
CTPS2,b2780,pyrG,60371.92000000002
NNDPR,b0109,nadC,32760.79999999996
ADSS,b4177,purA,47343.110000000015
GARFT,b2500,purN,23237.359999999986
KDOPS,b1215,kdsA,30831.49999999996
CHRPL,b4039,ubiC,18776.259999999984
DHQTi,b1693,aroD,27465.499999999967
DHORTS_reverse,b1062,pyrC,38825.85999999995
P5CR,b0386,proC,28143.719999999958
G6PDH2r,b1852,zwf,55702.30999999998
RHCCE,b2687,luxS,19415.499999999993
HSST,b4013,metA,35725.95999999996
CHORS,b2329,aroC,39135.90000000001
HMBS,b3805,hemC,33850.51999999998
ICDHyr,b1136,icd,45755.00000000004
UAAGDS,b0085,murE,53341.450000000026
HISTD,b2020,hisD,46108.33
UAPGR,b3972,murB,37849.679999999935
ENO,b2779,eno,45653.05
ADSK,b2750,cysC,22320.49999999999
ASP1DC,b0131,panD,13833.159999999996
BPNT,b4214,cysQ,27174.789999999968
CS,b0720,gltA,48013.09999999999
DHQS,b3389,aroB,38879.50999999998
DXPRIi,b0173,dxr,43386.259999999966
DXPS,b0420,dxs,67614.34000000011
HSK,b0003,thrB,33622.34999999998
MECDPS,b2746,ispF,16896.889999999985
METAT,b2942,metK,41949.94999999998
OCTDPS,b3187,ispB,35215.63999999998
OMPDC,b1281,pyrF,26349.109999999982
PANTS,b0133,panC,31596.47999999998
PGAMT_reverse,b3176,glmM,47541.66000000001
SHSL1,b3939,metB,41548.760000000046
UAGCVT,b3189,murA,44815.90000000001
UDCPDPS,b0174,ispU,28443.04999999999
UGMDDS,b0086,murF,47445.22999999997
PRASCSi,b2476,purC,26993.979999999978
GLUR_reverse,b3967,murI,31000.709999999977
DHFS,b2315,folC,45403.800000000025
GMPS2,b2507,guaA,58677.000000000044
MDH,b3236,mdh,32336.039999999957
AIRC2,b0522,purK,39459.7
NADS1,b1740,nadE,30635.66999999996
DHDPS,b2478,dapA,31268.759999999962
DAPE,b3809,dapF,30207.399999999987
GLUTRS,b2400,gltX,53813.659999999996
GLUTRR,b1210,hemA,46305.00000000002
PRFGS,b2557,purL,141397.00000000183
GND,b2029,gnd,51479.25999999995
GTPCI,b2153,folE,24829.709999999974
GLU5K,b0242,proB,39054.979999999996
KDOPP,b3198,kdsC,19996.349999999988
UHGADA,b0096,lpxC,33954.569999999956
GTPCII2,b1277,ribA,21835.22999999997
PGI,b4025,pgi,61527.39999999998
MOHMT,b0134,panB,28236.33999999998
THDPS,b0166,dapD,29890.949999999968
MTHFR2,b3941,metF,33101.35999999997
PTPATi,b3634,coaD,17835.949999999986
HPPK2,b0142,folK,18078.12999999999
AMAOTr,b0774,bioA,47333.789999999964
3OAR140,b1093,fabG,25559.229999999974
ACGS,b2818,argA,49193.40000000003
ACODA,b3957,argE,42345.78999999997
ADSL2r,b1131,purB,51540.860000000044
AGPR_reverse,b3958,argC,35950.789999999964
AHCYSNS,b0159,mtnN,24353.029999999977
AOXSr2,b0776,bioF,41592.590000000004
ASPO6,b2574,nadB,60335.120000000075
CDPMEK,b1208,ispE,30924.159999999963
CYTK1,b0910,cmk,24745.299999999992
DAPDC,b2838,lysA,46175.57000000002
DB4PS,b3041,ribB,23352.49999999997
DHAD2,b3771,ilvD,65528.8700000001
DHDPRy,b0031,dapB,28755.399999999958
DHORD2,b0945,pyrD,36773.20999999998
DHPPDA2,b0414,ribD,40336.83000000004
DHPS2,b3177,folP,30613.92999999996
DTMPK,b1098,tmk,23782.21999999998
FACOAE120,b0452,tesB,31965.10999999997
FCLT,b0475,hemH,35882.96999999996
G1PACT,b3730,glmU,49188.280000000006
G3PD2,b3608,gpsA,36360.14999999996
G5SD,b0243,proA,44628.27
G6PDA,b0678,nagB,29773.099999999962
GAPD,b1779,gapA,35531.019999999946
GF6PTA,b3729,glmS,66891.84000000016
GHMT2r,b2551,glyA,45314.79999999997
GK1,b3648,gmk,23591.789999999983
GLUDy_reverse,b1761,gdhA,48579.469999999965
GLUPRT,b2312,purF,56485.84000000003
GLYK,b3926,glpK,56228.61999999999
IGPS,b1262,trpC,49490.39
IMPD,b2508,guaB,52020.36000000007
IPMD,b0073,leuB,39515.430000000015
LPADS