Compound Name,Compound Id (KEGG),glc,glyc,ac,"E. coli (mM), WT(Mar), Ishii et al. 2007'","E. coli (mM), WT(Jun), Ishii et al. 2007'","E. coli (mM), WT(Jul), Ishii et al. 2007'","E. coli (mM), WT(Sep), Ishii et al. 2007'","E. coli (mM), WT(Oct), Ishii et al. 2007'","Human muscle (mM), Bergstrom et al. 1974'","S. cerevisiae (umol/G CDW), Hake Flask (n=4) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 1 (n=20) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 2 (n=20) , Ewald et al. 2009'","S. cerevisiae (mM), Glucose, Fendt et al. 2010'","S. cerevisiae (mM), Galactose, Fendt et al. 2010'","S. cerevisiae (mM), Ethanol, Fendt et al. 2010'","S. cerevisiae (mM), CEN.PK 113-7D, Kummel et al. 2010'","S. cerevisiae (mM), CEN-PK JT4, Kummel et al. 2010'","S. cerevisiae (mM), FY4, Kummel et al. 2010'","Bacillus subtilis (mM), Glucose,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 1,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 2,  Kleijn et al. 2010'"
'Quinate',296,nan,nan,nan,nan,nan,nan,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Uridine',299,2.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Creatine',300,nan,nan,nan,nan,nan,0.00872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'ADP-ribose',301,nan,nan,nan,0.0221,0.00624,0.0262,0.0195,0.00204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Isocitrate',311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19,0.18,0.61,nan,nan,nan,0.26,0.2,0.26
'Pyridoxine',314,nan,nan,nan,nan,nan,0.00117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Carnitine',318,nan,nan,nan,nan,nan,0.00399,nan,0.00169,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Citrulline',327,1.41,nan,nan,0.0622,0.0575,0.0384,0.126,0.0554,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.11,8.7,7.44
'D-Glucosamine',329,nan,nan,nan,nan,nan,0.0192,0.0799,0.0244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Deoxyguanosine',330,0.000522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Acetoacetyl-CoA',332,0.0218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'4-Aminobutanoate',334,nan,nan,nan,0.0416,0.0347,0.0436,0.0741,0.036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'(S)-Dihydroorotate',337,0.0121,0.0236,0.0205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'6-Phospho-D-gluconate',345,3.81,4.95,3.06,nan,nan,nan,nan,nan,nan,1.58,0.71,0.6,0.87,0.9,0.07,0.76,0.751,0.489,1.13,0.76,0.22
'D-Glucosamine 6-phosphate',352,1.15,0.378,0.316,0.402,0.604,0.34,0.708,0.494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""D-Fructose 1,6-bisphosphate""'",354,15.2,5.85,nan,nan,0.0312,nan,nan,0.0207,nan,nan,nan,nan,8.76,6.93,0.18,1.543,1.511,1.017,7.63,6.23,1.54
'N-Acetyl-D-glucosamine 6-phosphate',357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dAMP',360,0.00884,nan,nan,0.0122,nan,0.0145,0.00474,0.00115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dGMP',362,0.0507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dTDP',363,0.378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dTMP',364,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Cytosine',380,0.0141,nan,nan,0.00553,0.0048,0.00982,nan,0.00994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Guanosine',387,0.00162,nan,nan,0.019,0.019,0.0253,0.0478,0.0355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Isoleucine',407,nan,nan,nan,nan,nan,0.0331,nan,nan,0.11,0.66,0.86,0.53,nan,nan,nan,0.82,0.718,0.534,0.37,0.99,0.41
'L-Pipecolate',408,nan,nan,nan,nan,nan,0.00605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'cis-Aconitate',417,0.0161,0.0959,0.0723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'trans-Cinnamate',423,nan,nan,nan,0.0994,0.0681,0.136,0.0956,0.0702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N-Acetylornithine',437,0.0433,0.398,0.152,nan,0.00704,0.0141,0.0244,0.00928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N-Carbamoyl-L-aspartate',438,0.59,0.0902,0.0266,nan,0.609,0.562,0.441,0.446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dCTP',458,0.0352,0.083,0.146,0.0359,0.0354,0.017,0.0305,0.00804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dTTP',459,4.62,0.525,0.667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Cytidine',475,0.00259,nan,nan,0.00413,nan,0.00836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Tyramine',483,nan,nan,nan,nan,nan,0.0075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Shikimate',493,0.0141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07,0.05,0.01
'ADP-glucose',498,0.00427,nan,nan,0.0126,nan,0.00715,0.0183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Deoxyadenosine',559,0.00282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""3',5'-Cyclic AMP""'",575,0.0354,nan,nan,0.00559,0.00785,0.0085,0.00552,0.00223,nan,nan,nan,nan,nan,nan,nan,0.00088,0.00093,0.00047,nan,nan,nan
'N-Acetyl-L-glutamate',624,nan,nan,nan,0.0113,0.00983,nan,nan,0.00807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Pyridoxamine phosphate',647,nan,nan,nan,nan,0.0298,0.0403,0.0457,0.0434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""LL-2,6-Diaminoheptanedioate""'",666,nan,nan,nan,nan,0.105,0.0581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'2-Deoxy-D-ribose 5-phosphate',673,0.303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dCDP',705,nan,nan,nan,0.0373,0.029,0.036,0.0297,0.0129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Malate',149,1.68,3.45,3.33,0.0471,0.0835,0.0889,nan,0.0551,nan,0.79,0.91,0.66,1.68,1.47,4.46,0.88,1.171,1.97,0.57,nan,nan
'Pterin',715,nan,nan,nan,0.0239,0.0171,0.04,0.0252,0.0235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Pyridine',747,nan,nan,nan,nan,0.00334,nan,0.00403,0.00633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Urocanate',785,nan,nan,nan,nan,nan,0.09,0.132,0.0412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Creatinine',791,nan,nan,nan,nan,nan,0.00372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Histidinol',860,0.0128,0.0192,0.0196,nan,0.00278,0.00155,nan,0.00262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Pantothenate',864,nan,nan,nan,0.018,0.0123,0.058,0.0166,0.0167,nan,nan,nan,nan,0.21,0.21,0.1,nan,nan,nan,nan,nan,nan
"'""3',5'-Cyclic GMP""'",942,nan,nan,nan,nan,nan,nan,0.027,0.017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-2-Aminoadipate',956,nan,nan,nan,nan,0.0118,0.0115,0.02,0.0126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'O-Acetyl-L-serine',979,nan,nan,nan,nan,0.0233,nan,nan,0.0216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'O-Phospho-L-serine',1005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'4-Hydroxy-L-proline',1015,nan,nan,nan,nan,nan,0.00626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""N,N-Dimethylglycine""'",1026,nan,nan,nan,0.0057,nan,0.00618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N8-Acetylspermidine',1029,nan,nan,nan,nan,nan,0.000844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'4-Guanidinobutanoate',1035,nan,nan,nan,nan,nan,0.0023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N-Acetyl-L-aspartate',1042,nan,nan,nan,0.055,0.0522,0.0564,0.043,0.0544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Thiamin monophosphate',1081,nan,nan,nan,0.0507,0.315,0.0248,0.0751,0.0322,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Fructose 1-phosphate',1094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.037,0.04,0.023,nan,nan,nan
'Sorbitol 6-phosphate',1096,nan,nan,nan,0.0536,0.0717,0.0612,0.0858,0.0787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Trimethylamine N-oxide',1104,nan,nan,nan,nan,nan,0.00492,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Cys-Gly',1419,nan,nan,nan,nan,nan,nan,nan,0.0205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Glu-Glu',1425,nan,nan,nan,nan,nan,0.00634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Hexanoic acid',1585,nan,nan,nan,nan,nan,0.0795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Octylamine',1740,nan,nan,nan,nan,nan,0.0017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Piperidine',1746,nan,nan,nan,nan,nan,0.00195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Homocystine',1817,0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'5-Oxoproline',1879,nan,nan,nan,nan,0.0876,0.265,0.451,0.0848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Acetylcholine',1996,nan,nan,nan,0.000908,nan,0.00248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Methylmalonate',2170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'2-Methylmaleate',2226,nan,nan,nan,0.0127,0.0262,0.04,0.0223,0.0139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Castanospermine',2256,nan,nan,nan,nan,nan,0.00621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'5-Methylcytosine',2376,nan,nan,nan,nan,nan,0.00263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'1-Methyladenosine',2494,nan,nan,nan,nan,nan,0.00155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'3-Methylbutanamine',2640,nan,nan,nan,nan,nan,0.00191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Dodecanedioic acid',2678,nan,nan,nan,nan,0.00346,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Monomethyl sulfate',2704,nan,nan,nan,0.102,0.16,0.115,0.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N-Acetylputrescine',2714,nan,nan,nan,nan,nan,0.0056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'2-Methylpropanamine',2787,nan,nan,nan,0.00794,0.0338,0.00594,0.014,0.0214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'3-Guanidinopropanoate',3065,nan,nan,nan,nan,nan,0.00258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Dimethylbenzimidazole',3114,nan,nan,nan,nan,nan,0.00126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""L-2,4-Diaminobutanoate""'",3283,nan,nan,nan,nan,0.0443,0.0259,0.0617,0.044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-3-Amino-isobutanoate',3284,nan,nan,nan,nan,0.00845,0.00819,nan,0.00859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""2,3-Bisphosphoglycerate""'",3339,nan,nan,nan,nan,0.00832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.07,0.07
'N-(L-Arginino)succinate',3406,nan,nan,nan,nan,0.0368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'(R)-S-Lactoylglutathione',3451,nan,nan,nan,0.00869,0.0182,nan,0.0111,0.0289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""Pyridine-2,3-dicarboxylate""'",3722,0.0119,0.00458,0.00359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N6-Methyl-2'-deoxyadenosine',3795,nan,nan,nan,nan,nan,0.00187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'1-Phospho-alpha-D-galacturonate',4037,nan,nan,nan,0.0347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'N-Acetyl-D-glucosamine 1-phosphate',4256,0.0819,nan,nan,nan,0.00628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Nicotinamide hypoxanthine dinucleotide',4423,nan,nan,nan,0.141,0.172,0.194,0.17,0.0593,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"'""1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine""'",4599,nan,nan,nan,nan,nan,0.000778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'4-(beta-Acetylaminoethyl)imidazole',5135,nan,nan,nan,nan,nan,0.00215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Sedoheptulose 7-phosphate',5382,nan,nan,nan,0.216,0.178,0.334,0.18,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'1-Aminopropan-2-ol',5771,nan,nan,nan,nan,nan,0.0146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'2-Oxopentanoic acid',6255,nan,nan,nan,0.281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Octanoic acid',6423,nan,nan,nan,nan,nan,0.0795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'2-Keto-D-gluconic acid',6473,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Hydroxyatrazine',6552,nan,nan,nan,nan,nan,0.00148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Triethanolamine',6771,nan,nan,nan,nan,0.00851,0.0143,0.178,0.00342,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Diethanolamine',6772,nan,nan,nan,0.0166,nan,0.00986,0.0376,0.00738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Tolazoline',7147,nan,nan,nan,nan,nan,0.00141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Tromethamine',7182,nan,nan,nan,nan,nan,nan,nan,0.00767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Azelaic acid',8261,nan,nan,nan,0.00406,0.018,0.0255,0.0286,0.0182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Sebacic acid',8277,nan,nan,nan,nan,0.00232,nan,0.00581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Melamine',8737,nan,nan,nan,0.0054,0.0121,0.0126,0.00714,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Benzylsuccinate',9816,nan,nan,nan,nan,0.00231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Pseudopelletierine',10865,nan,nan,nan,0.000642,nan,0.00185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'2-Benzimidazolylguanidine',10898,nan,nan,nan,nan,nan,0.00239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Leu-leu-tyr',11331,nan,nan,nan,nan,nan,0.00156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Heptanoic acid',17714,nan,nan,nan,nan,nan,0.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
